Day of the Week,Hour,Total Cancel Rate
Monday,0,23.0%
Monday,1,30.1%
Monday,2,26.7%
Monday,3,26.1%
Monday,4,28.4%
Monday,5,26.7%
Monday,6,24.7%
Monday,7,23.6%
Monday,8,24.9%
Monday,9,25.4%
Monday,10,24.6%
Monday,11,26.1%
Monday,12,25.3%
Monday,13,24.6%
Monday,14,25.1%
Monday,15,28.6%
Monday,16,24.0%
Monday,17,25.7%
Monday,18,26.5%
Monday,19,25.6%
Monday,20,25.5%
Monday,21,25.2%
Monday,22,29.4%
Monday,23,24.0%
Tuesday,0,22.3%
Tuesday,1,22.6%
Tuesday,2,20.4%
Tuesday,3,26.2%
Tuesday,4,29.7%
Tuesday,5,23.0%
Tuesday,6,23.5%
Tuesday,7,23.3%
Tuesday,8,25.4%
Tuesday,9,27.3%
Tuesday,10,25.4%
Tuesday,11,23.3%
Tuesday,12,26.3%
Tuesday,13,27.9%
Tuesday,14,26.7%
Tuesday,15,25.7%
Tuesday,16,24.0%
Tuesday,17,25.8%
Tuesday,18,23.2%
Tuesday,19,25.6%
Tuesday,20,25.3%
Tuesday,21,26.2%
Tuesday,22,26.1%
Tuesday,23,24.9%
Wednesday,0,26.9%
Wednesday,1,27.7%
Wednesday,2,19.5%
Wednesday,3,26.1%
Wednesday,4,22.2%
Wednesday,5,26.6%
Wednesday,6,21.9%
Wednesday,7,27.4%
Wednesday,8,24.2%
Wednesday,9,25.0%
Wednesday,10,27.2%
Wednesday,11,23.3%
Wednesday,12,22.3%
Wednesday,13,23.3%
Wednesday,14,22.5%
Wednesday,15,25.4%
Wednesday,16,25.3%
Wednesday,17,25.2%
Wednesday,18,24.9%
Wednesday,19,25.2%
Wednesday,20,25.1%
Wednesday,21,24.5%
Wednesday,22,26.2%
Wednesday,23,26.2%
Thursday,0,24.6%
Thursday,1,19.8%
Thursday,2,20.4%
Thursday,3,26.9%
Thursday,4,20.6%
Thursday,5,29.8%
Thursday,6,26.3%
Thursday,7,24.9%
Thursday,8,24.7%
Thursday,9,23.3%
Thursday,10,25.3%
Thursday,11,24.8%
Thursday,12,24.6%
Thursday,13,28.5%
Thursday,14,26.0%
Thursday,15,23.9%
Thursday,16,23.4%
Thursday,17,23.9%
Thursday,18,26.7%
Thursday,19,25.1%
Thursday,20,22.1%
Thursday,21,22.4%
Thursday,22,24.8%
Thursday,23,26.7%
Friday,0,29.4%
Friday,1,25.1%
Friday,2,18.4%
Friday,3,23.2%
Friday,4,25.0%
Friday,5,23.0%
Friday,6,21.7%
Friday,7,26.6%
Friday,8,26.2%
Friday,9,21.7%
Friday,10,25.7%
Friday,11,23.3%
Friday,12,25.5%
Friday,13,25.7%
Friday,14,25.8%
Friday,15,26.9%
Friday,16,25.8%
Friday,17,24.2%
Friday,18,26.3%
Friday,19,25.7%
Friday,20,25.3%
Friday,21,23.1%
Friday,22,23.6%
Friday,23,27.3%
Saturday,0,24.1%
Saturday,1,28.4%
Saturday,2,27.0%
Saturday,3,23.7%
Saturday,4,23.9%
Saturday,5,27.9%
Saturday,6,25.0%
Saturday,7,27.1%
Saturday,8,23.5%
Saturday,9,26.3%
Saturday,10,22.4%
Saturday,11,23.9%
Saturday,12,24.0%
Saturday,13,22.9%
Saturday,14,27.8%
Saturday,15,25.2%
Saturday,16,25.1%
Saturday,17,23.9%
Saturday,18,23.8%
Saturday,19,25.8%
Saturday,20,25.2%
Saturday,21,23.9%
Saturday,22,24.6%
Saturday,23,23.7%
Sunday,0,23.0%
Sunday,1,22.9%
Sunday,2,23.1%
Sunday,3,27.5%
Sunday,4,29.0%
Sunday,5,28.1%
Sunday,6,26.3%
Sunday,7,24.7%
Sunday,8,25.9%
Sunday,9,25.4%
Sunday,10,23.8%
Sunday,11,23.6%
Sunday,12,25.4%
Sunday,13,24.1%
Sunday,14,28.4%
Sunday,15,24.2%
Sunday,16,24.0%
Sunday,17,25.6%
Sunday,18,26.2%
Sunday,19,25.7%
Sunday,20,23.5%
Sunday,21,22.5%
Sunday,22,24.6%
Sunday,23,25.4%
